t,rmse_enkf,rmse_eakf,rmse_enkf_tr,rmse_eakf_tr
0.000000000000000000e+00,8.986123015501149558e-01,8.986123015501149558e-01,8.416636740172422915e-01,1.001865654996489274e+00
5.000000000000000278e-02,9.476875100540638197e-01,9.476875100540638197e-01,8.748228648504966509e-01,9.267722609690947078e-01
1.000000000000000056e-01,1.121784050452742987e+00,1.121784050452742987e+00,1.041517840713288789e+00,9.789346935953866513e-01
1.500000000000000222e-01,1.244040609856801982e+00,1.244040609856801982e+00,1.100023723155781896e+00,9.627306722240212000e-01
2.000000000000000111e-01,1.158413619067551137e+00,1.157015377384194244e+00,1.146673559191070391e+00,8.753627978954533484e-01
2.500000000000000000e-01,1.210100946982876291e+00,1.218085423473829421e+00,1.171503354473019121e+00,8.553171501261245258e-01
3.000000000000000444e-01,1.194153229188284593e+00,1.287421445756592897e+00,1.102917090075023143e+00,9.198329176317510125e-01
3.500000000000000333e-01,1.232926476535047611e+00,1.345127429330986280e+00,1.081749749330986221e+00,1.052829689784835043e+00
4.000000000000000222e-01,1.188725722790707762e+00,1.322161094463505826e+00,1.011243332002002449e+00,1.041044751966164528e+00
4.500000000000000111e-01,1.265014239674748575e+00,1.277877541291972063e+00,9.625141041846406731e-01,9.085630715156927106e-01
5.000000000000000000e-01,1.408555596086600525e+00,1.346289355442750191e+00,9.159106234887411935e-01,8.564541743199378665e-01
5.500000000000000444e-01,1.664289304720865115e+00,1.565867079701752429e+00,9.450244525141060503e-01,8.354925701918821668e-01
6.000000000000000888e-01,1.518963009007242793e+00,1.470429912168841557e+00,1.031904738935923715e+00,9.444608351683055902e-01
6.500000000000000222e-01,1.575391433765324978e+00,1.422831299293090268e+00,8.684354479793231496e-01,8.720493275162820579e-01
7.000000000000000666e-01,1.712267613530580546e+00,1.469109597424884006e+00,8.643364996013445101e-01,8.246319716890783136e-01
7.500000000000000000e-01,1.873275566746492871e+00,1.571409400005563395e+00,9.545503294768350466e-01,8.606820749365768908e-01
8.000000000000000444e-01,1.782900012755825214e+00,1.644811694227201970e+00,1.007973996511838832e+00,8.843725481506322650e-01
8.500000000000000888e-01,1.890028697673771685e+00,1.754448328230503229e+00,9.651019509182388045e-01,9.005533828983106615e-01
9.000000000000000222e-01,2.084606110639675602e+00,1.962585452637173988e+00,1.272234212046471358e+00,9.570711055117020472e-01
9.500000000000000666e-01,2.339664399331131239e+00,2.190910637601829247e+00,1.739845246829597292e+00,1.146102557742672445e+00
1.000000000000000000e+00,2.340510533215242273e+00,2.030721245826093924e+00,1.288008326147062954e+00,1.408356303301977475e+00
1.050000000000000044e+00,2.478454686825061426e+00,2.162262908126364458e+00,1.467095274108488168e+00,1.582088216622157928e+00
1.100000000000000089e+00,2.650347505098524792e+00,2.269119335761646372e+00,1.814237609875973822e+00,1.550063620178809387e+00
1.150000000000000133e+00,2.844193966296078457e+00,2.336832235337249042e+00,2.119186194955632097e+00,1.355100093794784799e+00
1.200000000000000178e+00,3.065267050678716743e+00,2.783506761333358170e+00,1.629665650814645872e+00,1.295961699625346464e+00
1.250000000000000000e+00,3.381226341685608094e+00,2.778804836935762523e+00,1.736546585220397620e+00,1.177388770971286469e+00
1.300000000000000044e+00,3.579764071434662576e+00,2.800780551014984798e+00,1.831172242896042635e+00,1.197872648158236686e+00
1.350000000000000089e+00,3.710029292563946424e+00,2.900211220166108550e+00,2.068266268905270433e+00,1.378304704569982553e+00
1.400000000000000133e+00,4.364541085063073034e+00,2.981339026223729149e+00,2.642074990157029291e+00,1.680070108612729207e+00
1.450000000000000178e+00,4.285527245226626647e+00,2.798431001187058342e+00,2.619568290882632766e+00,1.475250100977132384e+00
1.500000000000000000e+00,4.145304839066707991e+00,2.709297722303923628e+00,2.569995036718935033e+00,1.393556833336434320e+00
1.550000000000000044e+00,3.936700934466871526e+00,2.742154816738380241e+00,2.610839841935339578e+00,1.514681010446519593e+00
1.600000000000000089e+00,4.389123501777268288e+00,3.411121891062034006e+00,3.067959935818526329e+00,2.296703073021424402e+00
1.650000000000000133e+00,4.118916608919765743e+00,3.574888031984170045e+00,2.878767368083192668e+00,2.394739848278861327e+00
1.700000000000000178e+00,3.876398684508947312e+00,3.582714016610927033e+00,2.546294759786791317e+00,2.369486149181473600e+00
1.750000000000000000e+00,3.759951300965471255e+00,3.477240842558966261e+00,2.369692038606100670e+00,2.246458078078302556e+00
1.800000000000000044e+00,3.506859761000661102e+00,3.632075945411446849e+00,2.117854907771171469e+00,2.475853019687299206e+00
